zone,productions,attractions
0101,98,98
0102,84,80
0103,40,38
0104,124,116
0105,144,140
0106,75,83
0107,54,56
0108,21,24
0109,6,5
0110,348,347
0111,214,205
0112,220,197
0113,131,118
0114,142,131
0115,183,161
0116,235,211
0117,161,175
0118,23,27
0201,1830,1764
0301,593,606
0302,138,145
0303,13,14
0304,176,170
0305,99,95
0401,1,1
0402,1,1
0403,0,0
0404,12,11
0405,10,10
0406,62,66
0407,0,0
0408,214,211
0409,1,1
0410,0,0
0411,5,5
0412,1,1
0501,36,38
0502,52,55
0503,14,14
0504,2,2
0505,4,3
0601,13,13
0602,39,42
0603,8,8
0604,15,14
0605,28,34
0606,21,18
0607,9,10
0701,1,1
0702,1,1
0703,1,1
0704,1,1
0705,1,1
0706,4,3
0707,0,0
0708,0,0
0709,6,5
0801,1,1
0802,8,7
0803,1,1
0804,1,1
0805,0,0
0806,0,0
0807,26,27
0808,6,7
0809,0,0
0810,15,15
0811,7,7
0812,16,16
0813,3,3
0814,1,1
0815,6,5
0816,8,8
0817,20,20
0818,7,8
0901,1,1
0902,0,0
0903,0,0
0904,0,0
0905,0,0
0906,0,0
0907,1,1
0908,2,2
0909,0,0
0910,0,0
0911,0,0
0912,0,0
0913,0,0
0914,1,1
0915,0,0
0916,2,2
0917,0,0
0918,6,7
0919,3,3
0920,2,2
0922,6,6
1001,0,0
1002,0,0
1003,1,2
1004,8,8
1005,2,2
1006,0,0
1007,0,0
1008,0,0
1009,1,1
1010,2,3
1011,1,1
1012,0,0
1101,0,0
1102,3,3
1103,0,0
1104,0,0
1105,2,2
1106,0,0
1107,1,1
1108,6,6
1109,1,1
1201,1,1
1202,8,7
1203,0,0
1204,3,2
1205,4,3
1301,308,306
1302,31,32
1303,27,28
1304,25,23
1305,4,5
1306,11,14
1307,4,4
1308,5,6
1309,2,2
1310,0,0
1312,5,5
1313,5,5
1314,0,0
1315,19,23
1316,8,8
1317,2,3
1318,3,3
1319,0,0
1320,8,8
1321,3,3
1322,6,6
1323,0,0
